pgs_id	intercept	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	resid_mean	resid_sd
COGNITION	-0.49322877069119636	0.002067312118669009	0.0011480371886180157	0.0019949054421740226	-0.0014866218680366944	0.0008564345996941988	0.0026778240907514607	0.0002260082833743396	-2.567198835807594e-05	-0.0009050135735111553	-0.0008377844165564508	9.50606295845182e-17	0.18795751316795128
PGS000004	-0.20379161384967692	-0.0022690279727913074	-0.0041962945772190015	-0.0020817817045915435	0.0011407123378699925	0.001974443952856774	4.9500371360770596e-05	-0.0008398752556824971	-5.6442887292265255e-05	-0.003457454493414285	0.0005815088300275639	5.249616857652497e-17	0.5750566448918685
PGS000024	0.44238567229832915	0.0010512942499980315	-0.001115888388427058	-0.0015270812215442857	-0.002122894000953585	0.0006380573565289317	-0.003268423678842062	0.0009860640931306426	0.003479297492451448	0.0013052931601097132	-0.0022024326207075538	-6.029965309465706e-16	0.3477987687287486
PGS000657	-0.32553946231424546	0.0007433147443865731	-6.011050823211735e-05	-0.0012651379738379156	-0.00048343173439038795	0.0005610618974638627	0.000236425265453505	-0.0015822555040574918	-0.00068016617253913	-0.0013679194817927615	0.0001900175422658344	1.559810144022085e-16	0.16696605871115947
PGS000662	24.350262380431506	-0.005682214347098631	0.0009810654895382547	-0.0017668570998394411	0.0028800599508176537	-0.0012472315736998534	-0.005673784763211662	0.0020348320322598652	-0.005145263035071846	-0.00032764630122877414	0.0007439756687352447	2.298480894431634e-15	0.8003519434989088
PGS000883	1.7370602207132395	-0.0020815524148956035	-4.81719546634432e-05	0.0015395643909244356	-0.0027748356491359835	-0.002961876157793872	-0.0002801899764013652	-0.0014231332037186709	-0.0023411493567696484	-3.8548348293917806e-05	-0.000596212283627465	-6.632961840412277e-16	0.20483180629772663
PGS001787	-0.9984508193808005	-0.0007155699467487144	0.00024809691472972356	-7.964624569872444e-06	0.0017490132694962883	0.0009319002497667176	0.0010203373159542303	-0.0005116976636451255	0.0005090284290800518	0.0005529487062570909	-0.00045004325391488436	-6.671979263002938e-16	0.14850615682460383
PGS002313	-0.8488090691402085	-0.000749758831618002	-0.0010986646965464246	-0.0009444563298449137	0.0012231309488850515	-0.002225249517246618	-0.0005369350096703683	0.0003345742675388373	0.002519096811855304	0.0013665223131016904	-0.0002775300420656534	5.08645309045519e-16	0.2994512775024965
PGS002724	-1346640.219786454	-3884.0693768587644	-10541.51747470819	-2205.6467706470157	2673.6720338071937	3113.0957757922515	-5473.350630592041	-2017.4109645634935	408.6812728410766	864.4349237906622	2839.795937313038	-1.9191791074344526e-10	280729.4273936178
PGS002746	-189.57785745700522	-0.2993277924519286	-0.35870123419441063	-0.08009785570408884	0.27191228462107475	-0.12363306915182531	0.33696564255009903	-0.023521685299619836	0.02100071311837724	0.05018920460020435	0.07765274661344661	2.7241255045115663e-14	27.579594040699984
PGS002785	0.4429881247330795	-0.0017629029534905775	-0.00384641693881038	0.0021670264515894484	0.0045383577427181325	0.0005604730305485995	0.0007362662011544203	-0.0008352875471517333	0.0001713389593897329	0.00038217208690406257	0.0022071200072511774	-2.880195194874208e-16	0.18199397637702247
PGS002786	0.27917662464950654	-0.0007881470030699503	-0.0010912125756382392	-0.0007420625148914879	0.0015474970293843286	-0.0011570418302433232	0.002758646562922229	0.00017547174113918858	-8.482092664889926e-05	0.0007003544074184606	0.0010943656949162198	-9.825296416011768e-17	0.13197952435549973
PGS002804	-0.6298321366051831	0.04400935093635327	0.038461390173648136	0.015762258634261832	-0.0116819072639088	0.003007925644376191	-0.009960412772341536	0.0031583453619864693	-0.0010592600626926946	-0.005228984187558858	-0.022445344017826364	1.929588899029026e-16	0.6912371308028735
PGS003725	-7.396307147733802	-0.007047122916455241	-0.0016738115913925286	0.006961579227402745	-0.0025789509768804736	0.0014605236029397294	-0.005818217529193634	0.000436422877228134	0.003683492184960768	0.0017206609856839378	0.0013921568891820026	3.487448171921578e-15	0.649994186129981
PGS003850	1.0394800319904163	0.0004673669896596832	-0.0004239272725772432	0.0003717351619419223	-0.001957607519795005	0.0032694725563073897	-0.0013597206220104625	-0.0037160686934485927	0.001556423023072024	-0.0006337584062971475	-9.609963627187657e-05	-3.6818258771914135e-16	0.5397525205197448
PGS003867	0.5453413066317856	-0.0022610458074891204	-0.0014495549411705742	0.0009232510532173724	0.0014277456945973824	0.00042546693566954965	0.000869966128115101	0.00024045625015049933	-0.00033944546749116764	-0.00023678921769652427	0.0002448060463913714	-3.9904182194993644e-19	0.12211607689146528
PGS004081	0.6475793514736489	0.0015428982029254018	-0.0015617039921845953	0.00014233564996081894	0.00565529268347522	0.0026488017416353414	-0.0023653914020731483	0.00023631309558189097	0.0014120322174908054	0.00045512828085844594	-0.00024635261969286563	-8.406481049078661e-17	0.34364554886838794
PGS004092	0.14056320813694315	-0.004172444373645086	-0.0006540543265672306	0.00035221374179920354	-0.0004646610509234983	-0.00010867754448822854	0.0015668009703358769	0.0011732839390710763	0.00017775709247787335	3.92460142522753e-05	0.0008299042161289153	3.014982654732853e-17	0.11004017423497625
PGS004427	-0.14282164058463084	0.00018022172568112911	0.000630540902406542	-0.0001837141185185986	-0.00042291083214302634	0.001323604136144883	0.0009108302959964089	0.0005672994430033418	-0.0007871849555908578	-0.0013097812036486542	-0.0002418213213004066	4.52247398209928e-17	0.145111755677936
PGS004885	0.8616273345650329	-0.0020179082054989977	-0.003450697818041003	-6.776213423706587e-05	0.0013542968749005522	0.00021669978044491377	0.0013225487741997622	0.00013073513452040451	-0.00032151401809196007	0.0005393612926146385	0.000491145513063345	4.5402091741859435e-17	0.28753540643764175
PGS005060	-0.26166047269719317	0.004340478223158575	-0.001661450473674611	-0.005838170616753553	0.000292187598018214	0.003416845811307585	-0.001605280186242269	-5.260142876815791e-05	-0.003703720084015859	0.002046519008266595	0.0006639836205121076	-4.1500349482793394e-17	0.4622327696788655
